web-scraper-order,web-scraper-start-url,reparto,reparto-href,title,price
"1525363269-383","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pulizia stoviglie","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-la-casa/pulizia-stoviglie/c/20101","Finish Curalavastoviglie 5X Power Actions 250 ml","€ 4,56"
"1525363271-409","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Bucato","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-la-casa/bucato/c/20098","Omino Bianco 100più Additivo Totale Color 600 g","€ 3,99"
"1525363278-452","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Parafarmacia","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/cura-della-persona/parafarmacia/c/20033","Autan Tropical vapo 100 ml","null"
"1525363354-901","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Sottoli, sottaceti, frutta e verdura conservata","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/sottoli,-sottaceti,-frutta-e-verdura-conservata/c/20075","Bonduelle Cuore di raccolto Champignon 230 g","€ 2,20"
"1525363274-411","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Accessori pulizia","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-la-casa/accessori-pulizia/c/20097","Swiffer Starter Kit + 8 Panni","€ 16,06"
"1525363263-346","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Cartoleria","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-la-casa/cartoleria/c/20099","Bic Cristal Original 1.0 mm nere 10 pz","€ 3,80"
"1525363410-1248","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pasta fresca non ripiena","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gastronomia-e-pasta-fresca/pasta-fresca-non-ripiena/c/20043","Giovanni Rana Gnocchi Ripieni Prosciutto Cotto e Mozzarella 500 g","€ 2,18"
"1525363442-1464","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Legumi e cereali","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/frutta-e-verdura/legumi-e-cereali/c/20037","FAGIOLINI BOBY VERDI","3,58 €/KG"
"1525363311-616","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Alimentazione bambini","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-il-bambino/alimentazione-bambini/c/20094","Mellin 2 800 gr.","€ 10,99"
"1525363425-1355","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Altri formaggi","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/altri-formaggi/c/20079","Philadelphia Benessere Active 175 g","€ 2,19"
"1525363360-950","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Farine e polenta","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/farine-e-polenta/c/20069","il Molino Chiavazza Crusca di Grano 200 g","€ 0,41"
"1525363343-825","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Alimenti vegetali","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/alimenti-vegetali/c/20077","verys Chicca di Riso Integrale Germogliato classica 200 g","€ 3,13"
"1525363410-1251","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pasta fresca non ripiena","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gastronomia-e-pasta-fresca/pasta-fresca-non-ripiena/c/20043","Giovanni Rana Sfogliagrezza Tagliatelle 250 g","€ 1,39"
"1525363408-1227","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Condimenti freschi","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gastronomia-e-pasta-fresca/condimenti-freschi/c/20041","il Pesto di Pra' Pesto Genovese 90 g","€ 2,90"
"1525363320-673","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Bibite e succhi","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/bevande-vini-liquori/bibite-e-succhi/c/20009","Zuegg I frutteti di Oswald Zuegg Succo e polpa di Pesca 3 x 200 ml","€ 1,69"
"1525363425-1345","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Altri formaggi","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/altri-formaggi/c/20079","Jocca Senza Lattosio 150 g","€ 1,89"
"1525363347-848","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Snack salati","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/snack-salati/c/20074","Pata La Patatina prodotta con metodo artigianale con 6% di olio extravergine di oliva 130 g","€ 1,23"
"1525363421-1322","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Grana e parmigiano","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/grana-e-parmigiano/c/20081","PARMIGIANO REGGIANO DOP- SPICCHIATO - STAGIONATURA OLTRE 22 MESI -TAGLIO EXTRA","19,90 €/KG"
"1525363395-1146","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Carne bovina","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/carne/carne-bovina/c/20012","LOMBATA CON OSSO DI BOVINO ADULTO","19,90 €/KG"
"1525363416-1290","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Piatti pronti da banco","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gastronomia-e-pasta-fresca/piatti-pronti-da-banco/c/20046","FRITTO MISTO DI PESCE - PRODOTTO GASTRONOMICO FRITTO","23,90 €/KG"
"1525363444-1478","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Verdura pronta","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/frutta-e-verdura/verdura-pronta/c/20040","IL GIGANTE Lavata e pronta Valeriana 200 g","€ 2,18"
"1525363322-685","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Acqua","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/bevande-vini-liquori/acqua/c/20007","LEVISSIMA Acqua Minerale Oligominerale Frizzante Bottiglia Piccola 50 cl x 6","€ 1,62"
"1525363317-654","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Birre","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/bevande-vini-liquori/birre/c/20010","Grimbergen Blonde 75 cl","€ 4,10"
"1525363425-1351","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Altri formaggi","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/altri-formaggi/c/20079","Philadelphia Mousse Noci 130 g","€ 1,64"
"1525363408-1232","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Condimenti freschi","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gastronomia-e-pasta-fresca/condimenti-freschi/c/20041","Biffi Pesto 140 g","€ 2,49"
"1525363365-970","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Preparati per dolci","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/colazione-merenda-dolci/preparati-per-dolci/c/20021","cameo Panna cotta caramellato 97 g","€ 1,55"
"1525363367-990","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Cioccolato, dolci, caramelle","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/colazione-merenda-dolci/cioccolato,-dolci,-caramelle/c/20020","Kinder Cioccolato 8 x 12,5 g","€ 1,55"
"1525363341-807","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Olio","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/olio/c/20111","Farchioni Olio di Oliva 1 Litro","€ 5,59"
"1525363449-1498","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Preparati di frutta","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/frutta-e-verdura/preparati-di-frutta/c/20038","Valfrutta 100% Frullato Veggie Pera Finocchio Zenzero 1000 ml","€ 1,99 (-25%)"
"1525363339-800","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Panetteria","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/pane-e-pasticceria/panetteria/c/20060","BUITONI LA BRISEE Pasta brisée fresca stesa rotonda rotolo 230g","€ 1,39"
"1525363427-1364","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Formaggi a fette","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/formaggi-a-fette/c/20080","IL GIGANTE Gran Fette Light* 8 Fettine 200 g","€ 1,28"
"1525363412-1258","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pasta fresca ripiena","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gastronomia-e-pasta-fresca/pasta-fresca-ripiena/c/20044","BUITONI 5 CEREALI RAVIOLI STRACCHINO E PROSCIUTTO CRUDO pasta fresca all'uovo ai 5 cereali 250g","€ 3,25"
"1525363339-798","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Panetteria","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/pane-e-pasticceria/panetteria/c/20060","Fiorentini Bio gallette grano saraceno 100 g","€ 1,99"
"1525363378-1054","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Caffè, the e altre bevande calde","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/colazione-merenda-dolci/caff%C3%A8,-the-e-altre-bevande-calde/c/20019","Orzo Bimbo Orzo 100% 10 capsule 27 g","€ 3,40"
"1525363294-543","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Igiene orale","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/cura-della-persona/igiene-orale/c/20030","Polident Ultrafresco Adesivo per Protesi Dentali 40 g","€ 6,24"
"1525363376-1048","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Cereali colazione","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/colazione-merenda-dolci/cereali-colazione/c/20023","IL GIGANTE Branflakes Fiocchi di Frumento Integrale con Crusca 375 g","€ 1,66"
"1525363429-1373","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Formaggi da banco","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/formaggi-da-banco/c/20108","TALEGGIO DOP","12,90 €/KG"
"1525363421-1325","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Grana e parmigiano","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/grana-e-parmigiano/c/20081","Latteria Soresina Soresino senza lattosio 270 g","€ 3,39"
"1525363274-415","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Accessori pulizia","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-la-casa/accessori-pulizia/c/20097","Spontex Panni Spugna x4","€ 1,99"
"1525363390-1105","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Carne trita, lavorata e insaccati","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/carne/carne-trita,-lavorata-e-insaccati/c/20017","FUSI D'ALA AROMATIZZATE","€ 3,48 (-22%)"
"1525363436-1418","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Salumi interi","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/salumi-interi/c/20084","Cavalier Umberto Boschi Strolghino 190 g","€ 4,49"
"1525363341-819","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Olio","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/olio/c/20111","IL GIGANTE Olio Extra Vergine di Oliva 0,5 l","€ 2,98"
"1525363350-868","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Condimenti","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/condimenti/c/20068","IL GIGANTE Pepe verde in Salamoia 100 g","€ 2,39"
"1525363367-992","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Cioccolato, dolci, caramelle","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/colazione-merenda-dolci/cioccolato,-dolci,-caramelle/c/20020","Milka con nocciole 100 g","€ 1,15"
"1525363313-629","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Alcolici e aperitivi","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/bevande-vini-liquori/alcolici-e-aperitivi/c/20008","Martini China Martini l'Amaro 700 ml","€ 9,49"
"1525363406-1208","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Latte e panna","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/latte-burro-uova-yogurt/latte-e-panna/c/20057","Latte candia Silhouette Scremato 4 x 50 cL","€ 2,80"
"1525363280-461","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Rasatura e depilazione","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/cura-della-persona/rasatura-e-depilazione/c/20035","Gillette Mach3 Gel Da Barba Extra Comfort 200 ml","€ 3,84"
"1525363440-1460","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Salumi da banco","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/salumi-da-banco/c/20107","COPPA PARMA IGP PELATA","16,90 €/KG (-26%)"
"1525363294-549","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Igiene orale","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/cura-della-persona/igiene-orale/c/20030","Iodosan Antiplacca collutorio con antibatterico 500ml","€ 2,30"
"1525363432-1388","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Wurstel e altri precotti","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/wurstel-e-altri-precotti/c/20086","IL GIGANTE Stinco di Maiale cotto 600 g","€ 3,98"
"1525363267-366","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Accessori cucina","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-la-casa/accessori-cucina/c/20096","IL GIGANTE Pellicola l'Aderente 300 Metri","€ 7,20"
"1525363271-405","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Bucato","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-la-casa/bucato/c/20098","Spuma di Sciampagna Marsiglia Lavatrice 1980 ml","€ 5,99 (-50%)"
"1525363378-1067","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Caffè, the e altre bevande calde","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/colazione-merenda-dolci/caff%C3%A8,-the-e-altre-bevande-calde/c/20019","cameo Ciobar Gusto Classico X5 125 g","€ 1,89"
"1525363271-398","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Bucato","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-la-casa/bucato/c/20098","Dash Liquido Regolare 19 Lavaggi","€ 5,98"
"1525363347-856","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Snack salati","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/snack-salati/c/20074","Cerreto i Cereali Mais per Pop Corn Bio 500 g","€ 3,98"
"1525363330-741","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Piatti pronti surgelati","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gelati-e-surgelati/piatti-pronti-surgelati/c/20052","IL GIGANTE Pennette al Salmone affumicato Surgelate 300 g","€ 2,99"
"1525363347-852","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Snack salati","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/snack-salati/c/20074","Kettle Chips Sea Salt 150g","€ 2,29"
"1525363313-628","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Alcolici e aperitivi","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/bevande-vini-liquori/alcolici-e-aperitivi/c/20008","Branca Brancamenta 70 cl","€ 11,49"
"1525363332-749","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Carne e pesce","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gelati-e-surgelati/carne-e-pesce/c/20048","IL GIGANTE Filetti di Platessa Impanati e Surgelati 300 g","€ 3,98"
"1525363363-956","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pasta e riso","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/pasta-e-riso/c/20070","IL GIGANTE Riso fino Basmati Sottovuoto 1 kg","€ 2,79"
"1525363317-659","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Birre","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/bevande-vini-liquori/birre/c/20010","Paulaner Hefe-Weißbier naturtrüb 0,5 L","€ 1,39"
"1525363280-469","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Rasatura e depilazione","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/cura-della-persona/rasatura-e-depilazione/c/20035","Gillette Mach3 Sensitive 1 Rasoio","€ 5,00"
"1525363300-559","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Alimenti e accessori per altri animali","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/amici-animali/alimenti-e-accessori-per-altri-animali/c/20002","Vitakraft Mangime completo per canarini 850 g","€ 1,99"
"1525363274-410","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Accessori pulizia","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-la-casa/accessori-pulizia/c/20097","Calzanetto La magica spugna autolucidante Neutro","€ 3,99"
"1525363330-736","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Piatti pronti surgelati","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gelati-e-surgelati/piatti-pronti-surgelati/c/20052","IL GIGANTE Pronto Scoglio al Pomodoro Surgelato 450 g","€ 4,98"
"1525363358-923","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pelati, passate e sughi","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/pelati,-passate-e-sughi/c/20071","Mutti Doppio Concentrato di Pomodoro 130 g","€ 0,81"
"1525363406-1215","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Latte e panna","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/latte-burro-uova-yogurt/latte-e-panna/c/20057","parmalat Bontà e Linea Latte Parzialmente Scremato 500 ml","€ 0,79"
"1525363393-1131","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Carne suina","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/carne/carne-suina/c/20016","SALAMELLE DI SUINO","7,50 €/KG"
"1525363309-606","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Cura e salute","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-il-bambino/cura-e-salute/c/20095","Fresh & Clean bimbi salviettine umidificate 25 pz","€ 1,99"
"1525363419-1301","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Grattugiati","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/grattugiati/c/20082","Parmareggio Parmigiano Reggiano Grattugiato Fresco 30 Months Matured DOP 60 g","€ 1,89"
"1525363401-1177","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Uova","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/latte-burro-uova-yogurt/uova/c/20058","Aia Oro Natura 6 uova fresche da galline allevate a terra Senza Antibiotici alimentazione vegetale","€ 1,99 (-30%)"
"1525363442-1466","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Legumi e cereali","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/frutta-e-verdura/legumi-e-cereali/c/20037","PISELLI","€ 2,58"
"1525363440-1461","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Salumi da banco","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/salumi-da-banco/c/20107","SALAME GOLFETTA","24,90 €/KG"
"1525363434-1411","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Salumi a cubetti","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/salumi-a-cubetti/c/20085","Fratelli Beretta Semplici Piaceri Pancetta Dolce Cubetti Leggeri -30% di grassi* 2 x 60 g","€ 2,44"
"1525363330-730","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Piatti pronti surgelati","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gelati-e-surgelati/piatti-pronti-surgelati/c/20052","Zanini la farinata della Spezia 320 g","€ 3,57"
"1525363399-1169","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Yogurt","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/latte-burro-uova-yogurt/yogurt/c/20059","Fattoria Scaldasole Yogurt Biologico Magro Vaniglia Senza Lattosio° 2 x 115 g","€ 1,79"
"1525363358-927","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pelati, passate e sughi","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/pelati,-passate-e-sughi/c/20071","Barilla Salsa Pronta 100% Italiana Classica con Olio Extra Vergine di Oliva 300 g","€ 1,60"
"1525363335-770","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Gelati","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gelati-e-surgelati/gelati/c/20050","IL GIGANTE Gelati Liquilemon 6 x 80 g","€ 1,82"
"1525363434-1405","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Salumi a cubetti","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/salumi-a-cubetti/c/20085","Cipressi in Chianti Rigatino affumicato 120 g","€ 4,50"
"1525363324-699","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pane, basi e pasticceria","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gelati-e-surgelati/pane,-basi-e-pasticceria/c/20051","Schär Rosette 8 x 58 g","€ 4,59"
"1525363371-1010","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Fette e spalmabili","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/colazione-merenda-dolci/fette-e-spalmabili/c/20024","IL GIGANTE Crema Spalmabile 400 g","€ 2,55"
"1525363291-522","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Igiene personale e deodoranti","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/cura-della-persona/igiene-personale-e-deodoranti/c/20031","Fresh & Clean Gel di frutta fragola e ciliegia 300 ml","€ 1,55"
"1525363261-335","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Giardinaggio","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tempo-libero/giardinaggio/c/20090","FIORIERA RONDINE CM 50 CON AGGANCI REGOLABILI E RISERVA D'ACQUA COLORE TERRACOTTA","€ 6,40"
"1525363425-1352","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Altri formaggi","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/altri-formaggi/c/20079","Vallelata Ricottine Fresche Dolci con Fragole 2 x 90 g","€ 1,78"
"1525363339-802","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Panetteria","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/pane-e-pasticceria/panetteria/c/20060","BUITONI LA SFOGLIA RETTANGOLARE pasta sfoglia fresca rettangolare rotolo 230g","€ 1,59"
"1525363339-801","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Panetteria","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/pane-e-pasticceria/panetteria/c/20060","BUITONI FOCACCIA LA SOFFICE Pasta fresca stesa per focaccia rotonda rotolo 375g","€ 2,28"
"1525363258-327","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Bricolage","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tempo-libero/bricolage/c/20089","Osram Led Star Classic A 100 Warm White E27","€ 7,99"
"1525363390-1115","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Carne trita, lavorata e insaccati","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/carne/carne-trita,-lavorata-e-insaccati/c/20017","SALSICCIA DI SUINO PICCANTE AL PEPERONCINO","7,50 €/KG"
"1525363354-903","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Sottoli, sottaceti, frutta e verdura conservata","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/sottoli,-sottaceti,-frutta-e-verdura-conservata/c/20075","Saclà Peperonata 290 g","€ 2,30"
"1525363294-537","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Igiene orale","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/cura-della-persona/igiene-orale/c/20030","Oral-B Spazzolino Manuale Professional Denti Sensibili 35 Extra Morbido","€ 3,05"
"1525363419-1311","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Grattugiati","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/grattugiati/c/20082","Ferrari Grana padano riserva grattugiato 90 g","€ 2,15"
"1525363326-701","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pizza e torte salate","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gelati-e-surgelati/pizza-e-torte-salate/c/20053","Pizza Alla Pala Rucola e pomodorini 225 g","€ 2,32"
"1525363280-463","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Rasatura e depilazione","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/cura-della-persona/rasatura-e-depilazione/c/20035","Squibb Schiuma da barba 300 ml","€ 1,27"
